Geneid,SC2,SC2yuan,SC3,SC3yuan
ENSMUSG00000073725,587,181,516,192
ENSMUSG00000100808,0,0,0,0
ENSMUSG00000100483,0,0,0,0
ENSMUSG00000100450,0,0,0,0
ENSMUSG00000099392,0,0,0,0
ENSMUSG00000033569,0,0,0,0
ENSMUSG00000080849,0,0,1,0
ENSMUSG00000104257,0,0,0,0
ENSMUSG00000119153,0,0,0,3
ENSMUSG00000102296,0,0,0,0
ENSMUSG00000103209,0,0,0,0
ENSMUSG00000104027,0,0,0,0
ENSMUSG00000102407,0,0,0,0
ENSMUSG00000103214,0,0,0,0
ENSMUSG00000104100,0,0,0,0
ENSMUSG00000084740,0,0,0,0
ENSMUSG00000103889,0,0,0,0
ENSMUSG00000101301,0,0,0,0
ENSMUSG00000104221,0,0,0,0
ENSMUSG00000102250,0,0,0,0
ENSMUSG00000102317,0,0,0,0
ENSMUSG00000103563,0,0,0,0
ENSMUSG00000102465,0,0,0,0
ENSMUSG00000102659,0,0,0,0
ENSMUSG00000103924,0,0,0,0
ENSMUSG00000104132,0,0,0,0
ENSMUSG00000102747,0,0,0,0
ENSMUSG00000102386,0,0,0,0
ENSMUSG00000103004,0,0,0,0
ENSMUSG00000104516,0,0,0,0
ENSMUSG00000101618,0,0,0,0
ENSMUSG00000099458,0,0,0,1
ENSMUSG00000088111,0,0,0,0
ENSMUSG00000073722,0,0,0,0
ENSMUSG00000119695,0,0,0,0
ENSMUSG00000100310,0,0,0,0
ENSMUSG00000101514,0,0,0,0
ENSMUSG00000101033,0,0,0,0
ENSMUSG00000101372,0,98,0,193
ENSMUSG00000103241,0,0,0,0
ENSMUSG00000086240,362,106,284,110
ENSMUSG00000048411,0,0,0,0
ENSMUSG00000081557,0,50,1,53
ENSMUSG00000058590,0,32,0,43
ENSMUSG00000101235,0,0,0,0
ENSMUSG00000099257,0,0,0,0
ENSMUSG00000099492,111,701,112,882
ENSMUSG00000118548,0,0,0,0
ENSMUSG00000101726,0,0,0,0
ENSMUSG00000053185,0,0,0,0
ENSMUSG00000118988,0,0,0,0
ENSMUSG00000100261,80,85,77,100
ENSMUSG00000101180,0,0,0,0
ENSMUSG00000048874,1967,494,1736,612
ENSMUSG00000103783,5,0,3,0
ENSMUSG00000104315,5,0,5,0
ENSMUSG00000026064,8,0,5,2
ENSMUSG00000117310,3,6,4,5
ENSMUSG00000117091,0,0,0,0
ENSMUSG00000086726,0,0,0,0
ENSMUSG00000086727,0,0,1,0
ENSMUSG00000100237,0,0,0,0
ENSMUSG00000100910,0,0,2,0
ENSMUSG00000099796,0,8,0,4
ENSMUSG00000050217,0,0,0,0
ENSMUSG00000026063,0,0,0,0
ENSMUSG00000077664,0,0,0,0
