Geneid,RAW1,RAW1yuan,RAW2,RAW2yuan,RAW3,RAW3yuan
ENSMUSG00000025779,90,94,99,97,114,114
ENSMUSG00000100093,0,0,0,0,0,0
ENSMUSG00000091020,59,69,46,60,77,65
ENSMUSG00000101640,0,0,0,0,0,0
ENSMUSG00000104133,0,0,0,0,0,0
ENSMUSG00000042686,0,0,0,1,0,0
ENSMUSG00000100110,0,0,0,0,0,0
ENSMUSG00000025777,0,0,0,0,0,0
ENSMUSG00000099899,0,0,0,0,0,0
ENSMUSG00000100272,0,0,0,0,0,0
ENSMUSG00000100398,1,2,1,3,1,6
ENSMUSG00000101589,106,121,115,134,96,136
ENSMUSG00000102048,0,0,0,0,2,0
ENSMUSG00000089534,0,0,0,0,0,0
ENSMUSG00000067780,0,0,2,0,0,0
ENSMUSG00000100053,0,0,0,0,0,0
ENSMUSG00000085125,0,0,0,0,0,0
ENSMUSG00000025776,0,0,0,0,0,0
ENSMUSG00000099895,0,0,0,0,0,0
ENSMUSG00000100554,0,0,0,0,0,0
ENSMUSG00000099473,0,0,0,0,0,0
ENSMUSG00000099591,0,0,0,0,0,0
ENSMUSG00000109887,0,0,0,0,0,0
ENSMUSG00000102001,0,0,0,0,0,0
ENSMUSG00000101717,0,0,0,0,0,0
ENSMUSG00000025774,0,0,0,0,0,0
ENSMUSG00000070977,0,0,0,0,0,0
ENSMUSG00000073735,0,0,0,0,0,0
ENSMUSG00000067773,0,0,0,0,0,0
ENSMUSG00000101685,2,3,0,0,8,11
ENSMUSG00000101306,0,0,0,0,0,0
ENSMUSG00000088800,0,0,0,0,0,0
ENSMUSG00000101644,0,0,0,0,0,0
ENSMUSG00000099433,0,0,0,0,0,0
ENSMUSG00000089787,0,0,0,0,0,0
ENSMUSG00000042596,0,0,0,0,0,0
ENSMUSG00000100720,15,15,12,20,14,30
ENSMUSG00000025927,0,0,0,0,0,0
ENSMUSG00000100538,0,0,0,0,0,0
ENSMUSG00000101117,0,0,0,0,0,0
ENSMUSG00000100204,59,46,38,46,47,43
ENSMUSG00000102597,0,0,0,0,0,0
ENSMUSG00000043760,0,0,0,0,1,0
ENSMUSG00000104095,0,0,0,0,0,0
ENSMUSG00000089914,0,0,0,0,0,0
ENSMUSG00000090142,0,0,0,0,0,0
ENSMUSG00000070175,0,0,0,0,0,0
ENSMUSG00000099906,0,0,0,0,0,0
ENSMUSG00000065559,0,0,0,0,0,0
ENSMUSG00000065480,0,0,0,0,0,0
ENSMUSG00000025929,0,0,0,0,0,0
ENSMUSG00000041872,0,0,1,3,1,3
ENSMUSG00000041859,3794,5542,3162,5237,3937,5648
ENSMUSG00000099714,0,0,1,0,0,0
ENSMUSG00000102121,0,0,0,0,0,0
ENSMUSG00000088858,0,0,0,0,0,0
ENSMUSG00000097934,0,0,0,0,0,0
ENSMUSG00000025931,5,0,5,2,4,0
ENSMUSG00000077314,0,0,0,0,0,0
ENSMUSG00000100929,0,0,0,0,0,0
ENSMUSG00000041809,9,3,5,0,3,1
ENSMUSG00000041779,276,148,252,153,229,172
ENSMUSG00000099971,0,0,0,0,0,0
ENSMUSG00000100819,0,0,0,0,0,0
ENSMUSG00000025933,5,0,1,6,12,7
ENSMUSG00000102633,0,0,0,0,0,0
ENSMUSG00000025934,0,1,2,5,0,1
ENSMUSG00000099343,0,0,0,0,0,0
ENSMUSG00000096375,22,5,17,2,23,3
ENSMUSG00000025936,0,0,0,0,0,0
ENSMUSG00000093963,0,0,0,0,0,0
ENSMUSG00000067750,0,0,0,0,0,0
ENSMUSG00000086194,0,0,0,0,0,0
ENSMUSG00000094436,0,0,0,0,0,0
ENSMUSG00000041722,0,0,0,0,0,0
ENSMUSG00000085507,0,0,0,0,0,0
ENSMUSG00000094926,0,0,0,0,0,0
ENSMUSG00000085079,0,0,0,0,0,0
ENSMUSG00000085679,0,0,0,0,0,0
ENSMUSG00000028033,0,0,0,0,0,0
ENSMUSG00000104138,0,0,0,0,0,0
ENSMUSG00000082935,1072,990,1035,1107,973,1157
ENSMUSG00000103748,0,0,0,0,0,0
ENSMUSG00000099692,0,1,0,0,0,0
ENSMUSG00000100418,0,0,0,0,0,0
ENSMUSG00000041670,0,0,0,0,0,1
ENSMUSG00000097642,0,0,0,0,0,0
ENSMUSG00000101468,0,0,0,0,0,0
ENSMUSG00000101227,0,0,0,0,0,0
ENSMUSG00000073730,0,0,0,1,0,0
ENSMUSG00000089553,0,0,0,0,0,0
ENSMUSG00000102766,0,0,1,0,0,0
ENSMUSG00000065405,0,0,0,0,0,0
ENSMUSG00000097970,1,0,1,1,5,2
ENSMUSG00000065567,0,0,0,0,0,0
ENSMUSG00000100775,0,0,1,0,0,1
ENSMUSG00000101226,0,0,0,0,0,0
ENSMUSG00000026158,757,443,732,531,737,632
ENSMUSG00000097920,0,0,0,0,0,0
ENSMUSG00000099503,0,0,0,0,0,0
ENSMUSG00000026156,32,9,21,21,17,7
ENSMUSG00000026155,583,399,492,466,529,529
ENSMUSG00000026154,134,107,146,138,118,125
ENSMUSG00000102495,0,0,0,0,0,1
ENSMUSG00000026153,812,562,776,613,721,685
ENSMUSG00000102398,3,2,2,8,3,3
ENSMUSG00000097670,0,0,0,0,0,0
ENSMUSG00000026147,0,0,0,0,0,0
ENSMUSG00000026141,1,0,0,1,0,2
ENSMUSG00000077463,0,0,0,0,0,0
ENSMUSG00000099997,5,6,8,7,12,15
ENSMUSG00000100131,473,702,489,743,524,1001
ENSMUSG00000067736,288,274,244,270,218,293
ENSMUSG00000101939,1390,1038,1179,1072,1134,1193
ENSMUSG00000101111,1230,1264,1149,1332,1195,1549
ENSMUSG00000100862,1548,2374,1458,2168,1674,2907
ENSMUSG00000102070,1846,2119,2221,2101,2235,2500
ENSMUSG00000101249,1669,1367,2042,1297,1909,1551
ENSMUSG00000073725,707,452,704,457,703,527
ENSMUSG00000100808,0,0,0,0,0,0
ENSMUSG00000100483,0,0,0,0,0,0
ENSMUSG00000100450,0,0,0,0,0,0
ENSMUSG00000099392,0,0,0,0,0,0
ENSMUSG00000033569,0,0,0,0,2,0
ENSMUSG00000080849,0,1,2,0,0,1
ENSMUSG00000104257,0,0,0,0,0,0
ENSMUSG00000119153,0,0,0,0,0,0
ENSMUSG00000102296,0,0,0,0,0,0
ENSMUSG00000103209,0,0,0,0,0,0
ENSMUSG00000104027,0,0,0,0,0,0
ENSMUSG00000102407,0,0,0,0,0,0
ENSMUSG00000103214,0,0,0,0,0,0
ENSMUSG00000104100,0,0,0,0,0,0
ENSMUSG00000084740,0,0,0,0,0,0
ENSMUSG00000103889,0,0,0,0,0,0
ENSMUSG00000101301,0,0,0,0,0,0
ENSMUSG00000104221,0,0,0,0,0,0
ENSMUSG00000102250,0,0,0,0,0,0
ENSMUSG00000102317,0,0,0,0,0,0
ENSMUSG00000103563,0,0,0,0,0,0
ENSMUSG00000102465,0,0,0,0,0,0
ENSMUSG00000102659,0,0,0,0,0,0
ENSMUSG00000103924,0,0,0,0,0,0
ENSMUSG00000104132,0,0,0,0,0,0
ENSMUSG00000102747,0,0,0,0,0,0
ENSMUSG00000102386,0,0,0,0,0,0
ENSMUSG00000103004,0,0,0,0,0,0
ENSMUSG00000104516,0,0,0,0,0,0
ENSMUSG00000101618,0,0,0,0,0,0
ENSMUSG00000099458,0,0,0,0,0,0
ENSMUSG00000088111,0,0,0,0,0,0
ENSMUSG00000073722,0,0,0,0,0,0
ENSMUSG00000119695,0,0,0,0,0,0
ENSMUSG00000100310,0,0,0,0,0,0
ENSMUSG00000101514,0,0,0,0,0,0
ENSMUSG00000101033,0,0,0,0,0,0
ENSMUSG00000101372,0,0,2,3,1,1
ENSMUSG00000103241,0,0,0,0,0,0
ENSMUSG00000086240,366,351,307,429,315,437
ENSMUSG00000048411,0,0,0,0,0,0
ENSMUSG00000081557,1,2,0,2,2,1
ENSMUSG00000058590,0,0,0,0,0,0
