Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
Biosynthesis of unsaturated fatty acids,-0.323121650146442,-0.8677754371764116,0.675,0.766133780471717,32,31,FADS1;ELOVL2;FADS2;ACAA1B;HSD17B12;ELOVL1;TECR;SCD2;ELOVL6;BAAT;SCD1;ELOVL4;ACOT5;ACOT3;SCD4;SCP2;HACD1;ACOT2;ACOX1;ACOT4;HACD3;ACOT1;ELOVL7;ELOVL3;ACOX3;HSD17B4;ACAA1A;HACD4;ACOT7;ELOVL5;HACD2,ACOT2;ACOX1;ACOT4;HACD3;ACOT1;ELOVL7;ELOVL3;ACOX3;HSD17B4;ACAA1A;HACD4;ACOT7;ELOVL5;HACD2
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,-0.352532631907937,-0.8499300631176733,0.6956521739130435,0.7954045318630417,25,25,PIGK;PIGX;PIGT;PIGG;DPM2;PIGU;PIGC;PIGP;GPLD1;PIGZ;PIGW;GPAA1;PIGS;PIGV;PIGB;PIGQ;PGAP1;PIGL;PIGN;PIGF;PIGH;PIGA;PIGYL;PIGM;PIGO,PIGV;PIGB;PIGQ;PGAP1;PIGL;PIGN;PIGF;PIGH;PIGA;PIGYL;PIGM;PIGO
Glycosaminoglycan biosynthesis,-0.29571326848412743,-0.832294874733084,0.6794871794871795,0.8221977447025293,53,50,B4GALT7;CHST11;B3GAT3;B3GNT7;HS2ST1;EXT2;ST3GAL2;XYLT2;ST3GAL3;FUT8;CHST7;CHPF2;NDST1;CHST3;CHSY1;CHPF;B4GALT2;B4GALT4;EXTL3;NDST3;CHSY3;CHST5;CHST14;HS3ST5;NDST4;CHST2;CHST15;UST;HS3ST1;B4GALT1;NDST2;CHST12;HS6ST3;GLCE;HS6ST2;B3GNT2;HS3ST3A1;CSGALNACT1;DSE;EXTL2;B3GALT6;B4GALT3;CHST13;HS3ST3B1;CSGALNACT2;CHST1;XYLT1;HS6ST1;EXTL1;ST3GAL1,HS3ST3B1;CSGALNACT2;CHST1;XYLT1;HS6ST1;EXTL1;ST3GAL1
Selenocompound metabolism,-0.3541968239404675,-0.823991288660981,0.6621621621621622,0.8323101865657573,17,15,KYAT3;TXNRD3;KYAT1;PAPSS2;PAPSS1;PSTK;TXNRD2;SEPSECS;SEPHS1;SCLY;TXNRD1;SEPHS2;MARS2;MTR;CTH,SEPSECS;SEPHS1;SCLY;TXNRD1;SEPHS2;MARS2;MTR;CTH
Vitamin digestion and absorption,-0.3363349918313985,-0.8144232729919909,0.7162162162162162,0.8429878693963369,24,18,TCN2;PLB1;BTD;SLC46A1;CUBN;SLC5A6;FOLH1;APOA1;PNLIP;AWAT2;ABCC1;LMBRD1;MMACHC;SCARB1;SLC19A1;SLC19A2;SLC52A3;SLC23A1,MMACHC;SCARB1;SLC19A1;SLC19A2;SLC52A3;SLC23A1
Thiamine metabolism,0.28152615953114285,0.8336926660999585,0.6666666666666666,0.8576536391956953,15,15,THTPA;ACP1;AKP3;ALPPL2;NTPCR;ALPI;ALPL;AK1;AK7;AK8;NFS1;AK5;TPK1;AK2;AK4,THTPA;ACP1;AKP3;ALPPL2;NTPCR
N-Glycan biosynthesis,-0.2849143669723468,-0.7970870553228057,0.7590361445783133,0.8580508374596776,50,49,RPN1;ALG14;DOLK;ALG5;MGAT2;GLT28D2;MAN1B1;GANAB;DAD1;ALG2;STT3A;FUT8;ST6GAL1;TUSC3;DPAGT1;DPM2;B4GALT2;MGAT4B;MGAT1;DOLPP1;MGAT4C;STT3B;MGAT3;ALG9;ALG13;B4GALT1;ST6GAL2;DDOST;SRD5A3;ALG1;ALG6;ALG12;ALG10B;ALG3;RPN2;MGAT5B;MAN2A2;MAN1A2;MOGS;B4GALT3;ALG11;DPM1;MGAT5;MAN1A;ALG8;DPM3;MGAT4A;MAN1C1;MAN2A1,RPN2;MGAT5B;MAN2A2;MAN1A2;MOGS;B4GALT3;ALG11;DPM1;MGAT5;MAN1A;ALG8;DPM3;MGAT4A;MAN1C1;MAN2A1
Pantothenate and CoA biosynthesis,-0.3401476144180575,-0.7946179843679619,0.7567567567567568,0.8584698994971501,18,15,BCAT1;ENPP1;PANK4;DPYD;AASDHPPT;PANK3;ENPP3;VNN3;COASY;PPCS;BCAT2;DPYS;PANK1;PANK2;PPCDC,ENPP3;VNN3;COASY;PPCS;BCAT2;DPYS;PANK1;PANK2;PPCDC
Thermogenesis,-0.24166596322269535,-0.8011309956286761,0.8686868686868687,0.8596626887688683,231,210,NDUFA10;SLC25A29;UQCR11;PRKG2;ATP5J;SMARCC1;PPARGC1A;NDUFB9;MAPK12;ATP5J2;CNR1;NDUFA7;CPT1B;RPS6KB2;CREB3;SLC25A20;NDUFA13;NDUFB10;UQCRB;CREB1;NDUFA1;ATP5K;NDUFA6;TSC2;NDUFB4;NDUFAF1;AKT1S1;NDUFS1;ZFP516;CYC1;MGLL;ATP5G1;NDUFS4;SMARCB1;ACSL3;GRB2;ATP5E;GNAS;TSC1;COX6B1;NDUFA12;PRKACA;SMARCE1;COX8A;ADCY6;SMARCC2;UQCRC2;KRAS;CREB3L1;SMARCD1;CREB3L2;ACTB;UQCRC1;NDUFA11B;SMARCA4;RPS6KA1;KDM1A;FRS2;RPS6KA2;ARID1A;KDM3A;NDUFV2;HRAS;ATP5G3;RPS6KB1;COX6B2;COA6;CPT1A;COX19;MTOR;PLIN1;MLST8;PRDM16;ATP5G2;ATF2;BMP8B;NDUFA3;RPS6KA3;ACTG1;NDUFV1;NDUFS2;RHEB;MAP2K3;SMARCD2;SMARCD3;UQCRQ;CREB5;ARID1B;CPT1C;KDM3B;FGFR1;COX7C;COX7A2;NDUFAF5;CPT2;SDHB;PNPLA2;ADCY1;NDUFAF2;NDUFA4;ATP5B;ADCY2;NPPB;GCG;PRKG1;COX4I1;UCP1;ATP5L;ACSL6;PRKAA2;FGF21;RPS6KA6;COX8B;NDUFB7;ADCY4;COX20;NDUFS8;COX5A;NRAS;NDUFA8;COA4;COX11;ADRB3;KLB;COX15;COX6A1;ATP5O;RPTOR;ADCY3;SIRT6;NDUFB4C;NDUFB11;COA7;ACTL6A;SMARCA2;COX6A2;COX5B;ATP5D;NDUFB3;NDUFA9;PRKACB;ACSL4;PRKAG3;DPF1;PPARG;ATP5C1;COA3;RPS6;ACSL1;NDUFC2;COX16;NDUFA4L2;COX10;NDUFB6;ADCY9;NDUFAF7;MAPK14;NDUFA2;SDHD;ADCY10;NDUFS5;UQCR10;ATP5H;NDUFA5;ADCY8;NDUFAF4;CREB3L3;NDUFB5;NDUFB2;NDUFC1;CREB3L4;ACSL5;UQCRFS1;NDUFS6;DPF3;COA5;COX7A2L;PRKAG1;COX14;COX7A1;LIPE;NDUFS7;SOS1;NDUFV3;NDUFS3;COX7B;ATP5A1;NDUFAF3;PRKAB1;COX6C;SDHC;UQCRH;NDUFA11;COX17;NDUFB8;SOS2;COX18;NPR1;ADCY7;MAPK11;MAP3K5;MAPK13;COX4I2;NDUFAF6;NDUFAB1;SDHA;BMP8A;PRKAG2;PRKAB2;PRKAA1,RPS6;ACSL1;NDUFC2;COX16;NDUFA4L2;COX10;NDUFB6;ADCY9;NDUFAF7;MAPK14;NDUFA2;SDHD;ADCY10;NDUFS5;UQCR10;ATP5H;NDUFA5;ADCY8;NDUFAF4;CREB3L3;NDUFB5;NDUFB2;NDUFC1;CREB3L4;ACSL5;UQCRFS1;NDUFS6;DPF3;COA5;COX7A2L;PRKAG1;COX14;COX7A1;LIPE;NDUFS7;SOS1;NDUFV3;NDUFS3;COX7B;ATP5A1;NDUFAF3;PRKAB1;COX6C;SDHC;UQCRH;NDUFA11;COX17;NDUFB8;SOS2;COX18;NPR1;ADCY7;MAPK11;MAP3K5;MAPK13;COX4I2;NDUFAF6;NDUFAB1;SDHA;BMP8A;PRKAG2;PRKAB2;PRKAA1
alpha-Linolenic acid metabolism,-0.3315078086482563,-0.7973949769009526,0.7792207792207793,0.861067221770918,25,23,PLA2G4D;PLB1;FADS2;ACAA1B;PLA2G4B;PLA2G4F;PLA2G6;PLA2G4C;PLA2G2C;PLA2G10;PLA2G2F;PLA2G4E;PLA2G12A;PLA2G3;ACOX1;PLA2G1B;PLA2G2D;ACOX3;PLA2G2A;PLA2G5;ACAA1A;PLA2G4A;PLA2G2E,PLA2G12A;PLA2G3;ACOX1;PLA2G1B;PLA2G2D;ACOX3;PLA2G2A;PLA2G5;ACAA1A;PLA2G4A;PLA2G2E
